,Topic,Count,Name,Representation,Representative_Docs
14,13,34,13_baggage_checked_claim_receiving,"['baggage', 'checked', 'claim', 'receiving', 'luggage', 'wait', 'disorganized', 'delays', 'handling', 'inefficient']","['Baggage handling was inefficient, resulting in delays in receiving checked luggage.', 'The baggage handling was inefficient, resulting in delays in receiving my checked luggage.', 'The baggage handling was inefficient, resulting in delays and a long wait for my checked luggage.']"
15,14,34,14_attendants_enforce_did_passenger,"['attendants', 'enforce', 'did', 'passenger', 'disruptive', 'not', 'address', 'handle', 'promptly', 'situation']","['The flight attendants did not address passenger concerns promptly.', 'The flight attendants did not address disruptive passengers.', 'The flight crew did not handle a disruptive passenger situation promptly or effectively.']"
16,15,33,15_passengers_dissatisfaction_inconvenienced_among,"['passengers', 'dissatisfaction', 'inconvenienced', 'among', 'delay', 'inconvenience', 'all', 'inconveniencing', 'postponed', 'frustration']","['Departure was postponed, leading to dissatisfaction among passengers.', 'The delay in departure caused frustration and dissatisfaction among passengers.', 'The flight delay caused inconvenience and frustration among passengers.']"
17,16,33,16_unclean_seat_surfaces_or,"['unclean', 'seat', 'surfaces', 'or', 'seatback', 'found', 'sticky', 'pockets', 'unsanitary', 'smelly']","['I found unclean or sticky surfaces on the seat recline buttons.', 'I encountered unclean or unsanitary surfaces on the seat headrests.', 'I found unclean or sticky surfaces on the seat armrests.']"
18,17,32,17_from_staff_customer_service,"['from', 'staff', 'customer', 'service', 'lack', 'airline', 'unresponsive', 'unhelpful', 'encountered', 'experienced']","['I encountered a lack of professionalism from the airline staff.', 'I experienced a lack of clear communication from the airline staff.', 'I encountered a lack of assistance from the airline staff.']"
19,18,32,18_gate_be_lacking_found,"['gate', 'be', 'lacking', 'found', 'at', 'boarding', 'uninformed', 'causing', 'changes', 'area']","['Long wait times at the boarding gate.', 'I found the gate announcements to be inconsistent and lacking clear instructions, causing confusion and delays.', 'I found the gate announcements to be inconsistent and lacking important information, causing confusion and delays.']"
20,19,32,19_due_issues_inconvenience_delayed,"['due', 'issues', 'inconvenience', 'delayed', 'departure', 'technical', 'postponed', 'was', 'late', 'flight']","['The flight departure was delayed due to maintenance issues.', 'The flight departure was postponed due to technical issues.', 'The flight departure was delayed due to technical issues.']"
21,20,29,20_temperature_cabin_ventilation_too,"['temperature', 'cabin', 'ventilation', 'too', 'hot', 'air', 'proper', 'uncomfortable', 'lacked', 'conditioning']","['The cabin temperature was too hot throughout the flight.', 'Uncomfortable cabin temperature.', 'The cabin temperature was too hot.']"
22,21,27,21_compensation_did_offer_mishandling,"['compensation', 'did', 'offer', 'mishandling', 'not', 'any', 'lost', 'damaged', 'for', 'reimbursement']","['The airline did not offer any compensation for the delayed flight.', 'The airline did not offer any assistance or compensation for the inconvenience caused by mishandled baggage.', 'The airline did not offer any compensation for the inconvenience and frustration caused by the mishandling of my baggage.']"
23,22,27,22_carry_space_storage_find,"['carry', 'space', 'storage', 'find', 'room', 'overhead', 'belongings', 'oversized', 'luggage', 'heavy']","['The limited space for carry-on luggage resulted in passengers struggling to find room for their belongings.', 'There was limited overhead storage space, making it difficult to find room for my belongings.', 'There was a shortage of overhead storage space, and I struggled to find room for my carry-on luggage.']"
24,23,26,23_mishandled_handling_damage_lost,"['mishandled', 'handling', 'damage', 'lost', 'fragile', 'items', 'staff', 'irreparable', 'baggage', 'luggage']","['The baggage handling staff mishandled my fragile glassware, resulting in irreparable damage.', 'The baggage handling staff mishandled my valuable items and caused damage.', 'The baggage handling staff mishandled my fragile items, leading to irreparable damage.']"
25,24,26,24_announcements_unclear_understand_difficult,"['announcements', 'unclear', 'understand', 'difficult', 'were', 'delivered', 'important', 'making', 'onboard', 'inaudible']","[""The airline's onboard announcements were unclear and difficult to hear, making it challenging to understand important information."", 'The flight announcements were unclear and difficult to understand.', 'The onboard announcements were inaudible and unclear, making it difficult to understand important information.']"
26,25,26,25_weather_expected_should_better,"['weather', 'expected', 'should', 'better', 'conditions', 'have', 'more', 'bad', 'felt', 'turbulence']","['The flight crew should have provided more frequent updates regarding the weather situation.', 'I expected the airline to have better contingency plans in place for flying in adverse weather conditions.', 'I felt the airline should have provided more information about the weather conditions and potential turbulence before the flight for better preparation.']"
27,26,26,26_baggage_policy_fees_charges,"['baggage', 'policy', 'fees', 'charges', 'complex', 'understanding', 'difficulties', 'resulting', 'confusion', 'additional']","[""I encountered difficulties understanding the airline's complex baggage restriction policy, resulting in confusion and extra charges."", ""I encountered difficulties understanding the airline's complex international baggage policy, resulting in confusion and unexpected charges."", ""I encountered difficulties understanding the airline's complex oversized baggage policy, resulting in confusion and additional charges.""]"
28,27,24,27_bag_received_broken_damaged,"['bag', 'received', 'broken', 'damaged', 'with', 'or', 'my', 'torn', 'missing', 'visible']","['I received my bag with a broken handle or wheels.', 'I received my bag with broken or damaged zippers.', 'I received my bag with broken or damaged locks.']"
29,28,24,28_lacked_attendants_professionalism_courtesy,"['lacked', 'attendants', 'professionalism', 'courtesy', 'basic', 'language', 'training', 'skills', 'disinterested', 'unable']","['The flight attendants seemed disinterested and lacked basic courtesy.', 'The flight attendants lacked professionalism.', 'The flight attendants lacked professionalism and courtesy.']"
30,29,23,29_insufficient_disabilities_assistance_elderly,"['insufficient', 'disabilities', 'assistance', 'elderly', 'passengers', 'for', 'support', 'special', 'with', 'requesting']","['I faced difficulties in requesting special assistance for elderly passengers, making their travel experience challenging.', 'The airline provided insufficient assistance for passengers with disabilities, making the journey challenging.', 'Assistance for passengers with disabilities was insufficient, making the journey challenging.']"
31,30,22,30_program_flyer_frequent_benefits,"['program', 'flyer', 'frequent', 'benefits', 'rules', 'restrictions', 'loyalty', 'redeeming', 'miles', 'redemption']","['The loyalty program had complicated rules and restrictions, making it difficult to enjoy the benefits.', ""The airline's frequent flyer program had limited benefits."", 'Limited benefits from the frequent flyer program.']"
32,31,21,31_empathy_towards_concerns_showed,"['empathy', 'towards', 'concerns', 'showed', 'displayed', 'lack', 'passenger', 'impolite', 'attendants', 'staff']","['The air crew displayed a lack of empathy towards passenger concerns.', 'The flight attendants lacked empathy towards passenger concerns.', 'The flight attendants showed a lack of empathy towards passengers.']"
33,32,21,32_customer_representative_service_agent,"['customer', 'representative', 'service', 'agent', 'issue', 'satisfactory', 'unresponsive', 'unapologetic', 'uncooperative', 'resolving']","['The customer service representative was unresponsive and did not provide a satisfactory resolution.', 'The customer service representative was unable to provide a satisfactory explanation for the issue.', 'The customer service representative was uninterested in resolving my issue.']"
34,33,21,33_assist_attendants_locating_didn,"['assist', 'attendants', 'locating', 'didn', 'with', 'connections', 'elderly', 'rebooking', 'carry', 'plane']","['The flight attendants did not assist with locating personal belongings left on the plane.', ""The flight attendants didn't assist with locating personal belongings left on the plane, causing distress and frustration."", ""The flight attendants didn't assist with locating personal belongings left on the plane, causing distress.""]"
35,34,19,34_our_by_departure_dissatisfied,"['our', 'by', 'departure', 'dissatisfied', 'excessive', 'frustrated', 'inconvenienced', 'prolonged', 'wait', 'delay']","['I was frustrated by the excessive delay in our flight departure.', 'I felt inconvenienced and dissatisfied by the excessive delay in our flight departure.', 'I felt frustrated and inconvenienced by the excessive delay in our flight departure.']"
36,35,18,35_air_crew_passenger_untrained,"['air', 'crew', 'passenger', 'untrained', 'professionalism', 'seemed', 'showed', 'complaints', 'effectively', 'address']","['The air crew seemed untrained in handling passenger complaints and requests.', 'The air crew displayed a lack of professionalism and failed to address passenger concerns.', 'The air crew displayed a lack of professionalism and did not handle passenger complaints effectively.']"
37,36,18,36_children_traveling_families_young,"['children', 'traveling', 'families', 'young', 'assistance', 'for', 'journey', 'entertainment', 'with', 'challenging']","[""The airline didn't provide adequate assistance for families traveling with infants and young children."", 'Lack of assistance for families traveling with children.', 'The airline did not provide adequate assistance to families traveling with young children.']"
38,37,17,37_noisy_noise_disruptive_insulation,"['noisy', 'noise', 'disruptive', 'insulation', 'rest', 'concentrate', 'engine', 'excessively', 'loud', 'peace']","['The noise insulation on the flight was inadequate, making it hard to rest or concentrate.', 'The noise insulation on the flight was poor, making it difficult to rest or concentrate.', 'Noise insulation on the flight was inadequate, making it challenging to rest or concentrate.']"
39,38,17,38_instructions_shopping_duty_clear,"['instructions', 'shopping', 'duty', 'clear', 'confusion', 'free', 'resulting', 'lack', 'frustrated', 'disappointed']","['I was frustrated with the lack of clear instructions during the in-flight duty-free shopping, resulting in confusion and delays.', 'I was disappointed with the lack of clear instructions during the onboard duty-free shopping, resulting in confusion and delays.', 'I was frustrated with the lack of clear instructions during the onboard duty-free shopping, resulting in confusion and delays.']"
40,39,17,39_refund_canceled_policy_obtaining,"['refund', 'canceled', 'policy', 'obtaining', 'refunds', 'processing', 'challenges', 'deserved', 'receive', 'receiving']","['I encountered difficulties in obtaining a refund for a canceled flight.', ""I faced challenges understanding the airline's complex refund policy, resulting in confusion and delays in receiving a refund."", ""The complexities of the airline's refund policy made it challenging to receive a refund for a canceled flight.""]"
41,40,17,40_without_clear_explanation_delayed,"['without', 'clear', 'explanation', 'delayed', 'consistently', 'explanations', 'departure', 'proper', 'communication', 'any']","['The flight departure was delayed without clear explanations.', 'The departure was delayed without clear explanation.', 'The flight departure was delayed without clear communication.']"
42,41,16,41_baggage_regarding_status_provided,"['baggage', 'regarding', 'status', 'provided', 'information', 'delayed', 'failed', 'updates', 'claim', 'clear']","['The airline provided minimal information or updates regarding the status of my delayed baggage.', 'The airline provided no updates or information regarding my delayed baggage.', 'The airline provided limited updates or information regarding the status of my delayed baggage.']"
43,42,16,42_changing_challenges_fees_faced,"['changing', 'challenges', 'fees', 'faced', 'reservations', 'canceling', 'complex', 'policy', 'understanding', 'additional']","['I faced challenges in changing my flight reservations, experiencing inconvenience and additional fees.', 'I faced challenges in changing my flight reservations, leading to inconvenience and additional fees.', 'I faced challenges in canceling or changing my flights due to complex procedures and high fees.']"
44,43,16,43_miss_connecting_connection_important,"['miss', 'connecting', 'connection', 'important', 'me', 'delayed', 'causing', 'when', 'event', 'an']","['The flight was significantly delayed, causing me to miss an important event or connection.', 'The flight was delayed, causing me to miss a connecting flight.', 'The flight was delayed, causing me to miss an important connection.']"
45,44,16,44_is_demand_this_deserve,"['is', 'demand', 'this', 'deserve', 'expect', 'right', 'departure', 'compensation', 'better', 'treatment']","['I expect better treatment than a delayed departure. This is unacceptable!', 'I demand compensation for the departure delay. This is an affront to my plans!', 'I demand immediate action regarding the delayed arrival. This is my right!']"
46,45,15,45_boarding_disorganized_process_chaotic,"['boarding', 'disorganized', 'process', 'chaotic', 'deplaning', 'coordination', 'chaos', 'congestion', 'delays', 'during']","['Disorganized boarding process.', 'The boarding process was disorganized and chaotic, causing delays and confusion.', 'The boarding process was disorganized and chaotic.']"
47,46,15,46_outlets_power_devices_electronic,"['outlets', 'power', 'devices', 'electronic', 'charging', 'charge', 'limiting', 'ports', 'onboard', 'ability']","[""The onboard power outlets were not functioning, limiting passengers' ability to charge devices."", 'There were no power outlets available onboard, leaving me unable to charge my electronic devices.', 'The absence of power outlets made it impossible to charge electronic devices.']"
48,47,15,47_lavatory_dirty_floors_were,"['lavatory', 'dirty', 'floors', 'were', 'emptied', 'bins', 'doors', 'overflowing', 'wet', 'appeared']","['The lavatory floors were unclean and showed signs of poor hygiene.', 'The lavatory waste bins were overflowing and not promptly emptied.', 'The lavatory floors were sticky and appeared unclean.']"
49,48,14,48_fi_wi_advertised_connectivity,"['fi', 'wi', 'advertised', 'connectivity', 'work', 'unreliable', 'onboard', 'failing', 'functional', 'slow']","['The onboard Wi-Fi, which was advertised, did not work throughout the entire flight.', 'The in-flight Wi-Fi was slow and unreliable.', 'The onboard Wi-Fi did not work as advertised.']"
50,49,14,49_inconvenience_arrival_inconvenienced_affected,"['inconvenience', 'arrival', 'inconvenienced', 'affected', 'caused', 'me', 'delayed', 'travel', 'prolonged', 'plans']","['The prolonged delay in flight arrival inconvenienced me and affected my travel arrangements.', 'The significantly delayed flight arrival inconvenienced me and affected my plans.', 'The delayed flight arrival inconvenienced me and affected my overall travel experience.']"
51,50,14,50_entertainment_system_faulty_options,"['entertainment', 'system', 'faulty', 'options', 'outdated', 'unreliable', 'working', 'onboard', 'limited', 'interface']","['Limited in-flight entertainment options.', 'Faulty and unreliable onboard entertainment system.', ""The airline's onboard entertainment system was faulty and unreliable.""]"
52,51,14,51_updates_explanations_provide_crew,"['updates', 'explanations', 'provide', 'crew', 'weather', 'did', 'not', 'timely', 'or', 'uninformed']","['The airline did not provide any updates or explanations for a prolonged delay, leaving passengers uninformed.', 'The air crew did not provide clear instructions or updates during the flight.', 'The airline did not provide updates or explanations for a delayed departure.']"
53,52,14,52_experienced_frustration_multiple_tarmac,"['experienced', 'frustration', 'multiple', 'tarmac', 'unexplained', 'causing', 'takeoff', 'delays', 'unexpected', 'before']","['The flight had a long wait time on the tarmac before takeoff, causing frustration and discomfort.', 'The flight experienced unexpected delays, causing frustration.', 'The flight experienced multiple delays, leading to frustration.']"
54,53,14,53_mobility_provide_adequate_disabilities,"['mobility', 'provide', 'adequate', 'disabilities', 'elderly', 'assistance', 'passengers', 'with', 'did', 'not']","['The airline did not provide assistance to elderly passengers with mobility issues.', 'The airline did not provide adequate assistance for passengers with disabilities.', 'The airline did not provide assistance to elderly passengers with mobility challenges.']"
55,54,13,54_cleanliness_standards_hygiene_aircraft,"['cleanliness', 'standards', 'hygiene', 'aircraft', 'unhygienic', 'below', 'cabin', 'fell', 'general', 'impression']","['The lack of cleanliness and hygiene standards in the cabin was unacceptable.', 'The flight lacked proper cleanliness and hygiene standards.', 'Lack of cleanliness and hygiene standards.']"
56,55,13,55_resulted_transportation_expenses_inconvenient,"['resulted', 'transportation', 'expenses', 'inconvenient', 'wasted', 'delay', 'additional', 'in', 'arrival', 'unnecessary']","['The flight delay resulted in additional transportation costs. Inconvenient and costly.', 'The arrival delay resulted in missed transportation options.', 'The delay in arrival resulted in additional expenses for alternate transportation. Inconvenient.']"
57,56,13,56_unclean_noticed_dusty_stained,"['unclean', 'noticed', 'dusty', 'stained', 'observed', 'cabin', 'or', 'aircraft', 'window', 'bulkhead']","['I noticed unclean or dusty overhead compartments.', 'I noticed unclean or dusty air vents in the aircraft.', 'I noticed unclean or dusty surfaces in the cabin.']"
58,57,13,57_disruption_assistance_provide_did,"['disruption', 'assistance', 'provide', 'did', 'not', 'missed', 'during', 'connections', 'any', 'sufficient']","['The airline did not offer any assistance during a flight disruption.', 'The airline did not provide sufficient assistance during a flight disruption.', 'The airline did not provide adequate assistance during a flight disruption.']"
59,58,12,58_restrooms_restroom_unpleasant_toilets,"['restrooms', 'restroom', 'unpleasant', 'toilets', 'cleanliness', 'out', 'toilet', 'unkempt', 'onboard', 'supplies']","['The onboard restrooms ran out of essential supplies like toilet paper, inconveniencing passengers.', 'The onboard restrooms ran out of toilet paper.', 'The restrooms were dirty and unkempt, making it an unpleasant experience to use them.']"
60,59,12,59_received_attendant_from_unsatisfactory,"['received', 'attendant', 'from', 'unsatisfactory', 'poor', 'who', 'service', 'assistance', 'emergency', 'when']","['I received inadequate assistance from the flight attendant during turbulence.', 'I received unsatisfactory service from the flight attendant.', 'I received poor service from the flight attendant during the flight.']"
61,60,11,60_seat_upgrading_upgrades_eligibility,"['seat', 'upgrading', 'upgrades', 'eligibility', 'difficulties', 'requesting', 'seats', 'companions', 'upgrade', 'challenges']","['Difficulties in upgrading seats on the flight despite availability and eligibility.', 'I encountered challenges in requesting seat upgrades, despite availability and eligibility.', 'I encountered difficulties in upgrading my seat on the flight, despite availability and eligibility.']"
62,61,11,61_claim_area_baggage_sufficient,"['claim', 'area', 'baggage', 'sufficient', 'lacked', 'bin', 'space', 'bags', 'signage', 'all']","['The baggage claim area lacked sufficient staff to handle the number of passengers.', 'I encountered a lack of staff at the baggage claim area for assistance.', 'The baggage claim area was overcrowded and lacked sufficient space for passengers.']"
63,62,11,62_staff_competence_showed_displayed,"['staff', 'competence', 'showed', 'displayed', 'knowledge', 'lack', 'professionalism', 'accountability', 'of', 'integrity']","['The staff showed a lack of professionalism and accountability.', 'The staff displayed a lack of knowledge and competence.', 'The staff displayed a lack of professionalism and competence.']"
64,63,11,63_material_magazine_reading_outdated,"['material', 'magazine', 'reading', 'outdated', 'onboard', 'uninteresting', 'value', 'little', 'absence', 'offering']","['Lack of onboard reading material options.', 'The onboard magazine offered limited reading material, leaving passengers with few options.', 'The onboard magazine was outdated and had limited reading material.']"
65,64,11,64_information_incorrect_agent_customer,"['information', 'incorrect', 'agent', 'customer', 'service', 'provided', 'inconsistent', 'gave', 'contradictory', 'confusion']","['The customer service agent provided incorrect information that caused unnecessary inconvenience.', 'The customer service agent provided incorrect information, leading to unnecessary confusion.', 'The customer service agent provided incorrect information.']"
66,65,11,65_boarding_inefficient_slow_procedures,"['boarding', 'inefficient', 'slow', 'procedures', 'process', 'pass', 'verification', 'due', 'delayed', 'scanning']","[""The boarding process was delayed due to the airline's inefficient and slow document verification procedures."", ""The boarding process was delayed due to the airline's inefficient and slow boarding pass scanning procedures."", ""The boarding process was delayed due to the airline's inefficient and slow passenger boarding verification procedures.""]"
67,66,11,66_lights_reading_read_overhead,"['lights', 'reading', 'read', 'overhead', 'work', 'difficult', 'availability', 'making', 'limited', 'lighting']","['There were limited overhead reading lights, making it difficult to read or work during the flight.', 'The limited availability of overhead reading lights made it difficult to read or work during the flight.', 'Limited availability of overhead reading lights, making it difficult to read or work during the flight.']"
